VC mem handle 5, phys 0xfe86f000, virt 0xb6f8c000
CS 54000000 txw=1 txd=1 txe=1
0.015
0.012
0.015
0.010
0.007
0.010
0.017
0.010
0.012
0.020
0.005
0.017
0.012
0.017
0.015
0.017
0.022
0.005
0.002
0.020
0.017
0.010
0.010
0.012
0.020
0.002
0.007
0.010
0.007
0.017
0.015
0.020
0.010
0.007
0.005
0.017
0.010
0.012
0.015
0.020
0.000
0.010
0.007
0.015
0.015
0.017
0.000
0.015
0.007
0.017
0.007
0.012
0.012
0.022
0.012
0.010
0.015
0.022
0.015
0.024
0.012
0.017
0.005
0.010
0.002
0.024
0.002
0.017
0.015
0.010
0.007
0.017
0.010
0.010
0.015
0.015
0.010
0.020
0.015
0.015
0.012
0.015
0.007
0.012
0.015
0.015
0.007
0.012
0.022
0.005
0.015
0.022
0.000
0.012
0.012
0.022
0.015
0.007
0.017
0.027
0.000
0.022
0.015
0.015
0.005
0.010
0.015
0.022
0.005
0.020
0.002
0.015
0.005
0.024
0.002
0.024
0.000
0.027
0.010
0.012
0.012
0.022
0.012
0.017
0.007
0.024
0.005
0.015
0.020
0.010
0.020
0.007
0.010
0.015
0.005
0.015
0.024
0.015
0.015
0.010
0.017
0.005
0.012
0.015
0.022
0.012
0.012
0.020
0.012
0.007
0.032
0.005
0.029
0.012
0.015
0.007
0.017
0.005
0.032
-0.005
0.029
0.020
0.005
0.015
0.017
0.010
0.041
-0.007
0.037
0.010
0.010
0.007
0.022
0.010
0.022
2.200
2.234
2.268
2.256
2.268
2.263
2.256
2.271
2.268
2.263
2.249
2.273
2.254
2.263
2.256
2.254
2.266
2.263
2.273
2.256
2.268
2.251
2.276
2.420
2.449
2.451
2.446
2.461
2.451
2.473
2.451
2.456
2.461
2.466
2.459
2.466
2.466
2.461
2.461
2.466
2.473
2.468
2.473
2.463
2.471
2.407
2.341
2.341
2.346
2.349
2.334
2.341
2.337
2.341
2.341
2.332
2.327
2.329
2.315
2.315
2.332
2.327
2.320
2.317
2.317
2.339
2.322
2.332
2.395
2.405
2.415
2.415
2.420
2.422
2.422
2.417
2.424
2.429
2.405
2.427
2.429
2.427
2.432
2.429
2.434
2.434
2.441
2.427
2.422
2.429
2.424
2.371
2.373
2.376
2.361
2.361
2.371
2.354
2.359
2.366
2.351
2.351
2.351
2.341
2.346
2.337
2.341
2.351
2.344
2.339
2.339
2.341
2.349
2.368
2.383
2.388
2.395
2.395
2.405
2.398
2.398
2.407
2.402
2.398
2.415
2.410
2.410
2.412
2.417
2.422
2.417
2.415
2.407
2.429
2.417
2.424
2.388
2.388
2.376
2.380
2.390
2.368
2.371
2.373
2.378
2.373
2.366
2.356
2.351
2.356
2.354
2.351
2.361
2.359
2.349
2.356
2.346
2.349
2.359
2.371
2.380
2.385
2.393
2.388
2.388
2.398
2.393
2.393
2.388
2.395
2.400
2.398
2.415
2.402
2.407
2.410
2.402
2.410
2.407
2.410
2.400
2.410
2.390
2.393
2.380
2.383
2.378
2.385
2.371
2.371
2.373
2.371
2.366
2.371
2.366
2.368
2.363
2.363
2.363
2.366
2.363
2.359
2.354
2.378
2.368
2.378
2.380
2.383
2.388
2.385
2.388
2.383
2.385
2.385
2.390
2.393
2.395
2.400
2.398
2.400
2.388
2.398
2.393
2.398
2.400
2.407
2.390
2.395
2.390
2.385
2.385
2.378
2.380
2.376
2.380
2.376
2.383
2.383
2.378
2.371
2.380
2.378
2.378
2.368
2.376
2.368
2.368
2.380
2.363
2.373
2.380
2.373
2.378
2.380
2.378
2.373
2.376
2.380
2.385
2.385
2.380
2.393
2.383
2.393
2.390
2.390
2.388
2.393
2.390
2.393
2.390
2.395
2.388
2.393
2.390
2.390
2.378
2.380
2.385
2.385
2.380
2.383
2.373
2.385
2.385
2.385
2.378
2.380
2.368
2.368
2.378
2.378
2.378
2.368
2.373
2.378
2.376
2.383
2.373
2.378
2.380
2.378
2.380
2.385
2.383
2.380
2.385
2.390
2.385
2.383
2.380
2.395
2.395
2.383
2.393
2.393
2.390
2.393
2.380
2.383
2.385
2.383
2.383
2.385
2.380
2.378
2.380
2.388
2.385
2.385
2.371
2.380
2.383
2.380
2.385
2.378
2.378
2.378
2.373
2.368
2.380
2.373
2.380
2.380
2.383
2.388
2.383
2.383
2.385
2.378
2.383
2.385
2.383
2.385
2.388
2.378
2.388
2.383
2.383
2.385
2.393
2.383
2.388
2.380
2.383
2.383
2.383
2.378
2.390
2.376
2.390
2.390
2.380
2.383
2.383
2.385
2.393
2.380
2.383
2.373
2.378
2.378
2.376
2.371
2.378
2.371
2.380
2.376
2.373
2.378
2.385
2.383
2.378
2.388
2.383
2.385
2.380
2.373
2.390
2.378
2.383
2.388
2.373
2.385
2.383
2.368
2.385
2.388
2.383
2.385
2.380
2.378
2.390
2.385
2.390
2.393
2.388
2.378
2.393
2.380
2.383
2.385
2.380
2.378
2.388
2.380
2.373
2.363
2.378
2.378
2.378
2.376
2.388
2.373
2.380
2.378
2.385
2.393
2.383
2.380
2.383
2.378
2.378
2.380
2.388
2.385
2.373
2.383
2.385
2.378
2.388
2.378
2.385
2.388
2.385
2.380
2.390
2.398
2.385
2.383
2.385
2.380
2.383
2.388
2.378
2.378
2.383
2.380
2.380
2.380
2.368
2.378
2.373
2.385
2.378
2.380
2.385
2.376
2.380
2.383
2.378
2.376
2.388
2.380
2.378
2.383
2.383
2.373
2.383
2.390
2.383
2.378
2.376
2.376
2.373
2.380
2.383
2.383
2.383
2.385
2.385
2.385
2.388
2.373
2.390
2.380
2.378
2.383
2.385
2.380
2.383
2.380
2.380
2.383
2.378
2.388
2.376
2.385
2.373
2.383
2.380
2.380
2.380
2.390
2.383
2.390
2.378
2.376
2.380
2.376
2.373
2.383
2.383
2.385
2.376
2.380
2.383
2.383
2.378
2.378
2.385
2.380
2.388
2.385
2.380
2.380
2.383
2.388
2.385
2.380
2.376
2.376
2.376
2.376
2.383
2.380
2.378
2.385
2.380
2.380
2.378
2.383
2.380
2.378
2.385
2.385
2.383
2.380
2.380
2.385
2.383
2.380
2.378
2.376
2.383
2.378
2.380
2.376
2.378
2.376
2.383
2.385
2.378
2.373
2.371
2.378
2.390
2.378
2.388
2.376
2.383
2.376
2.373
2.378
2.380
2.378
2.395
2.380
2.383
2.380
2.385
2.378
2.383
2.383
2.390
2.373
2.385
2.383
2.390
2.378
2.380
2.378
2.376
2.378
2.378
2.378
2.373
2.380
2.380
2.378
2.388
2.380
2.380
2.383
2.376
2.378
2.380
2.380
2.383
2.383
2.380
2.380
2.383
2.395
2.378
2.383
2.383
2.380
2.380
2.378
2.380
2.380
2.380
2.383
2.380
2.383
2.383
2.378
2.378
2.378
2.378
2.378
2.376
2.385
2.376
2.383
2.388
2.376
2.378
2.373
2.378
2.388
2.376
2.378
2.380
2.388
2.385
2.383
