VC mem handle 5, phys 0xfe86f000, virt 0xb6fea000
CS 54004003 enable=1 done=1 pxldat=1 txw=1 txd=1 txe=1
0.078
0.093
0.063
0.088
0.071
0.083
0.078
0.076
0.073
0.080
0.095
0.071
0.093
0.056
0.073
0.071
0.078
0.093
0.071
0.080
0.061
0.095
0.066
0.098
0.056
0.080
0.102
0.068
0.093
0.068
0.093
0.068
0.085
0.073
0.073
0.090
0.059
0.098
0.061
0.095
0.061
0.076
0.078
0.085
0.071
0.071
0.095
0.066
0.095
0.066
0.078
0.083
0.098
0.071
0.061
0.090
0.066
0.088
0.063
0.080
0.080
0.078
0.071
0.068
0.093
0.071
0.085
0.071
0.076
0.078
0.095
0.073
0.063
0.098
0.063
0.102
0.061
0.080
0.076
0.073
0.093
0.063
0.078
0.068
0.088
0.068
0.076
0.080
0.088
0.090
0.068
0.095
0.066
0.085
0.056
0.076
0.088
0.085
0.080
0.066
0.090
0.068
0.090
0.066
0.080
0.071
0.076
0.080
0.071
0.085
0.071
0.085
0.071
0.093
0.059
0.085
0.085
0.061
0.102
0.061
0.095
0.059
0.098
0.059
0.078
0.088
0.061
0.090
0.063
0.090
0.071
0.085
0.066
0.085
0.090
0.071
0.083
0.073
0.090
0.061
0.093
0.068
0.073
0.080
0.059
0.073
0.085
0.080
0.059
0.095
0.063
0.088
0.080
0.068
0.095
0.078
0.088
0.068
0.090
0.076
0.078
0.083
0.063
0.078
0.078
0.085
0.061
0.068
0.078
0.076
0.093
0.068
0.076
0.073
0.093
0.080
0.066
0.078
0.083
0.093
0.059
0.078
0.078
0.083
0.088
0.066
0.080
0.080
0.088
0.061
0.078
0.073
0.078
0.088
0.071
0.088
0.080
0.090
0.063
0.076
0.085
0.080
0.090
0.066
0.083
0.080
0.083
0.073
0.083
0.083
0.073
0.078
0.063
0.080
0.068
0.076
0.083
0.083
0.076
0.085
0.090
0.073
0.093
0.063
0.083
0.085
0.078
0.085
0.088
0.071
0.083
0.083
0.063
0.080
0.078
0.080
0.080
0.095
0.059
0.085
0.090
0.078
0.078
0.085
0.080
0.080
0.093
0.061
0.090
0.071
0.083
0.078
0.083
0.080
0.080
-2.068
-1.885
-1.693
-1.559
-1.363
-1.239
-1.115
-1.012
-0.912
-0.829
-0.751
-0.685
-0.634
-0.588
-0.527
-0.485
-0.439
-0.412
-0.376
-0.356
-0.322
-0.307
-0.288
-0.278
-0.268
-0.254
-0.234
-0.207
-0.190
-0.195
-0.176
-0.173
-0.156
-0.151
-0.151
-0.139
-0.137
-0.132
-0.122
-0.120
-0.127
-0.120
-0.112
-0.102
-0.093
-0.100
-0.095
-0.093
-0.090
-0.088
-0.088
-0.088
-0.080
-0.085
-0.083
-0.083
-0.073
-0.080
-0.078
-0.071
-0.088
-0.073
-0.088
-0.073
-0.073
-0.071
-0.078
-0.080
-0.068
-0.083
-0.059
-0.080
-0.066
-0.068
-0.068
