VC mem handle 5, phys 0xfe86f000, virt 0xb6f6e000
CS FC004005 enable=1 active=1 pxldat=1 txw=1 rxr=1 txd=1 rxd=1 txe=1 rxf=1
-5.000
-4.356
-4.980
0.502
-4.963
-4.980
-4.980
0.505
-5.000
-4.356
-4.980
0.498
-5.000
3.137
-4.980
0.507
-4.968
3.761
-4.980
0.488
-4.966
-4.980
-4.980
0.500
-4.966
4.385
-4.980
0.495
-4.968
3.761
-4.980
0.505
-4.968
4.385
-4.980
0.495
-4.971
4.385
-4.980
0.495
-4.968
3.761
-4.980
0.488
-4.968
2.512
-4.980
0.500
-5.000
-4.356
-4.980
0.493
-4.971
4.385
-4.980
0.500
-4.966
4.385
-4.980
0.495
-4.968
-4.980
-4.980
0.495
-4.973
2.512
-4.980
0.483
-4.973
1.888
-4.980
0.493
-4.968
1.888
-4.980
0.498
-4.976
2.512
-4.980
0.495
-4.971
1.263
-4.980
0.490
-4.963
1.263
-4.980
0.493
-4.968
3.137
-4.980
0.490
-4.976
3.761
-4.980
0.490
-4.980
2.512
-4.980
0.498
-4.978
0.639
-4.980
0.493
-4.976
2.512
-4.980
0.493
-4.973
4.385
-4.980
0.488
-4.976
1.263
-4.980
0.490
-4.971
1.263
-4.980
0.490
-4.971
-1.234
-4.980
0.483
-4.976
1.888
-4.980
0.485
-4.978
2.512
-4.980
0.485
-4.976
1.888
-4.980
0.493
-4.971
3.137
-4.980
0.483
-5.000
-0.610
-4.980
0.488
-4.973
1.888
-4.980
0.485
-4.968
0.639
-4.980
0.480
-4.976
0.015
-4.980
0.485
-4.978
0.639
-4.980
0.485
-4.976
0.015
-4.980
0.488
-4.980
2.512
-4.980
0.495
-4.980
0.015
-4.980
0.490
-4.971
-0.610
-4.980
0.488
-4.983
0.639
-4.980
0.485
-4.978
1.888
-4.980
0.480
-4.980
-0.610
-4.980
0.488
-4.980
-0.610
-4.980
0.473
-4.983
0.639
-4.980
0.480
-4.976
0.639
-4.980
0.476
-4.976
0.639
-4.980
0.485
-4.973
-0.610
-4.980
0.485
-4.983
0.639
-4.980
0.483
-4.978
0.015
-4.980
0.478
-4.980
-0.610
-4.980
0.490
-4.976
0.015
-4.980
0.488
-4.978
1.263
-4.980
0.476
-4.978
-0.610
-4.980
0.485
-4.976
1.263
-4.980
0.478
-4.988
-0.610
-4.980
0.476
-4.985
-3.107
-4.980
0.473
-4.978
-1.859
-4.980
0.478
-4.980
-1.234
-4.980
0.476
-4.978
-0.610
-4.980
0.480
-4.983
0.015
-4.980
0.476
-4.980
-0.610
-4.980
0.478
-4.978
0.639
-4.980
0.478
-4.988
-0.610
-4.980
0.473
-4.990
-0.610
-4.980
0.480
-4.980
0.015
-4.980
0.480
-4.985
0.639
-4.980
0.473
-4.985
-1.859
-4.980
0.473
-4.990
-3.107
-4.980
0.480
-4.988
-1.234
-4.980
0.478
-4.988
-2.483
-4.980
0.473
-4.988
-2.483
-4.980
0.471
-4.985
-0.610
-4.980
0.476
-4.985
-0.610
-4.980
0.480
-4.985
-2.483
-4.980
0.473
-4.993
-2.483
-4.980
0.476
-4.983
-2.483
-4.980
0.473
-4.985
-1.859
-4.980
0.476
-4.988
-1.859
-4.980
0.478
-4.993
-3.732
-4.980
0.485
-4.988
-3.732
-4.980
0.471
-4.985
-2.483
-4.980
0.471
-4.990
-1.234
-4.980
0.476
-4.988
-1.234
-4.980
0.480
-4.995
-1.859
-4.980
0.473
