VC mem handle 5, phys 0xfe86f000, virt 0xb6fdc000
CS 54004003 enable=1 done=1 pxldat=1 txw=1 txd=1 txe=1
0.198
0.193
0.185
0.195
0.193
0.193
0.193
0.183
0.195
0.198
0.193
0.188
0.198
0.188
0.190
0.190
0.193
0.188
0.193
0.190
0.188
0.200
0.202
0.195
0.190
0.190
0.185
0.188
0.190
0.190
0.198
0.185
0.193
0.198
0.200
0.193
0.183
0.198
0.190
0.195
0.195
0.188
0.198
0.195
0.190
0.185
0.193
0.190
0.190
0.190
0.190
0.188
0.198
0.198
0.193
0.195
0.195
0.195
0.190
0.190
0.188
0.190
0.198
0.200
0.190
0.190
0.188
0.193
0.193
0.190
0.190
0.193
0.195
0.198
0.180
0.190
0.195
0.188
0.198
0.193
0.190
0.188
0.195
0.195
0.195
0.190
0.180
0.195
0.195
0.185
0.193
0.190
0.190
0.195
0.188
0.185
0.190
0.190
0.190
0.190
0.198
0.195
0.195
0.190
0.185
0.185
0.193
0.195
0.193
0.185
0.190
0.188
0.193
0.193
0.190
0.185
0.193
0.193
0.190
0.183
0.188
0.200
0.195
0.195
0.188
0.195
0.195
0.185
0.188
0.195
0.198
0.188
0.198
0.188
0.185
0.185
0.185
0.180
0.193
0.190
0.188
0.200
0.185
0.190
0.195
0.190
0.198
0.198
0.190
0.190
0.193
0.188
0.195
0.190
0.195
0.190
0.188
0.183
0.193
0.195
0.188
0.198
0.193
0.190
0.195
0.183
0.190
0.188
0.188
0.190
0.198
0.193
0.183
0.190
0.188
0.190
0.193
0.188
0.193
0.188
0.195
0.183
0.200
0.190
0.195
0.190
0.190
0.198
0.188
0.195
0.190
0.193
0.195
0.190
0.198
0.180
0.190
0.193
0.188
0.193
0.193
0.190
0.190
0.180
0.190
0.195
0.193
0.193
0.198
0.193
0.190
0.185
0.185
0.190
0.195
0.193
0.188
0.193
0.185
0.195
0.195
0.185
0.193
0.190
0.193
0.193
0.193
0.188
0.188
0.193
0.195
0.195
0.195
0.200
0.183
0.190
0.190
0.190
0.198
0.190
0.188
0.188
0.185
0.183
0.195
0.193
0.190
0.188
0.195
0.180
0.200
0.195
0.188
0.195
0.198
0.195
0.195
0.190
0.193
0.188
0.190
0.180
0.195
0.190
0.190
0.188
0.195
0.193
0.190
0.188
0.190
0.188
0.185
0.193
0.188
0.193
0.193
0.190
0.188
0.205
0.176
0.193
0.193
0.193
0.193
0.188
0.195
0.183
0.188
0.193
0.190
0.193
0.190
0.190
0.195
0.193
0.190
0.190
0.198
0.195
0.193
0.198
0.178
0.185
0.200
0.190
0.190
0.185
0.188
0.185
0.183
0.190
0.193
0.188
0.193
0.190
0.188
0.202
0.193
0.190
0.195
0.193
0.188
0.195
0.195
0.188
0.185
0.190
0.190
0.193
0.193
0.180
0.193
0.188
0.183
0.188
0.198
0.198
0.193
0.190
0.200
0.185
0.195
0.193
0.190
0.195
0.190
0.188
0.195
0.188
0.190
0.195
0.190
0.190
0.193
0.195
0.171
0.200
0.195
0.195
0.188
0.193
0.198
0.198
0.183
0.190
0.183
0.188
0.193
0.193
0.193
0.190
0.193
0.188
0.200
0.185
0.183
0.190
0.198
0.190
0.195
0.193
0.193
0.198
0.188
0.193
0.195
0.193
0.190
0.193
0.195
0.190
0.193
0.193
0.185
0.195
0.188
0.190
0.188
0.188
0.188
0.183
0.193
0.190
0.198
0.190
0.193
0.190
0.195
0.183
0.195
0.195
0.198
0.188
0.190
0.183
0.193
0.188
0.185
0.193
0.190
0.188
0.190
0.190
0.188
0.190
0.188
0.198
0.195
0.200
0.190
0.190
0.183
0.185
0.193
0.183
0.193
0.198
0.185
0.195
0.188
0.188
0.195
0.190
0.188
0.188
0.185
0.185
0.198
0.198
0.190
0.188
0.193
0.188
0.190
0.188
0.193
0.185
0.193
0.190
0.188
0.200
0.188
0.183
0.180
0.190
0.188
0.193
0.190
0.190
0.190
0.195
0.195
0.188
0.198
0.193
0.188
0.202
0.190
0.193
0.185
0.195
0.185
0.190
0.190
0.178
0.193
0.198
0.188
0.190
0.195
0.188
0.195
0.188
0.190
0.190
0.190
0.190
0.195
0.195
0.180
0.185
0.188
0.193
0.193
0.188
0.190
0.188
0.188
0.185
0.190
0.198
0.200
0.185
0.188
0.205
0.180
0.185
0.193
0.193
0.193
0.190
0.185
0.183
0.188
0.190
0.188
0.190
0.193
0.190
0.188
0.183
0.190
0.188
0.205
0.190
0.200
0.188
0.180
0.185
0.198
0.195
0.185
0.190
0.195
0.193
0.195
0.193
0.188
0.185
0.190
0.185
0.195
0.190
0.188
0.190
0.193
0.185
0.190
0.198
0.190
0.193
0.195
0.178
0.193
0.193
0.188
0.193
0.188
0.198
0.180
0.193
0.185
0.198
0.193
0.180
0.185
0.185
0.205
0.198
0.190
0.190
0.193
0.193
0.202
0.185
0.190
0.188
0.188
0.190
0.198
0.195
0.183
0.188
0.193
0.190
0.193
0.190
0.195
0.188
0.188
0.188
0.193
0.198
0.198
0.193
0.190
0.193
0.183
0.195
0.188
0.198
0.188
0.188
0.190
0.195
0.185
0.178
0.193
0.193
0.195
0.188
0.193
0.193
0.198
0.190
0.193
0.193
0.195
0.195
0.185
0.188
0.195
0.188
0.195
0.190
0.190
0.188
0.188
0.193
0.190
0.200
0.183
0.193
0.198
0.195
0.188
0.195
0.190
0.198
0.193
0.188
0.198
0.188
0.193
0.178
0.190
0.195
0.188
0.195
0.188
0.183
0.188
0.195
0.195
0.200
0.193
0.185
0.202
0.195
0.195
0.185
0.198
0.190
0.190
0.193
0.188
0.183
0.193
0.188
0.185
0.188
0.195
0.202
0.183
0.190
0.190
0.195
0.195
0.193
0.193
0.198
0.190
0.185
0.200
0.193
0.188
0.200
0.200
0.188
0.188
0.195
0.190
0.193
0.190
0.180
0.193
0.188
0.195
0.190
0.195
0.200
0.188
0.190
0.188
0.198
0.183
0.190
0.195
0.190
0.193
0.190
0.198
0.183
0.183
0.185
0.195
0.190
0.195
0.190
0.195
0.193
0.200
0.198
0.185
0.193
0.198
0.188
0.198
0.190
0.200
0.190
0.188
0.190
0.205
0.185
0.183
0.190
0.205
0.185
-1.983
-1.873
-1.795
-1.712
-1.546
-1.476
-1.407
-1.332
-1.239
-1.176
-1.122
-1.056
-0.995
-0.954
-0.898
-0.861
-0.805
-0.778
-0.724
-0.693
-0.663
-0.632
-0.620
-0.610
-0.566
-0.549
-0.520
-0.500
-0.471
-0.456
-0.441
-0.415
-0.405
-0.398
-0.376
-0.354
-0.341
-0.329
-0.322
-0.305
-0.298
-0.290
-0.293
-0.266
