VC mem handle 5, phys 0xfe86f000, virt 0xb6fbf000
CS 54004003 enable=1 done=1 pxldat=1 txw=1 txd=1 txe=1
0.278
0.268
0.285
0.280
0.278
0.283
0.283
0.283
0.285
0.290
0.285
0.283
0.288
0.285
0.276
0.280
0.278
0.280
0.290
0.271
0.273
0.280
0.273
0.283
0.283
0.276
0.271
0.283
0.280
0.280
0.285
0.285
0.278
0.285
0.280
0.278
0.283
0.285
0.285
0.280
0.280
0.283
0.276
0.278
0.283
0.273
0.278
0.283
0.276
0.273
0.280
0.285
0.285
0.271
0.285
0.285
0.283
0.283
0.283
0.280
0.276
0.276
0.288
0.280
0.273
0.278
0.276
0.280
0.280
0.280
0.280
0.283
0.278
0.271
0.285
0.288
0.288
0.280
0.276
0.278
0.288
0.285
0.278
0.278
0.288
0.278
0.278
0.278
0.280
0.278
0.271
0.285
0.278
0.283
0.280
0.280
0.280
0.285
0.280
0.280
0.278
0.288
0.283
0.285
0.278
0.278
0.278
0.278
0.278
0.278
0.278
0.278
0.278
0.285
0.273
0.278
0.285
0.278
0.283
0.285
0.280
0.288
0.273
0.278
0.285
0.278
0.278
0.276
0.273
0.283
0.288
0.278
0.280
0.276
0.278
0.283
0.273
0.283
0.283
0.285
0.280
0.276
0.280
0.288
0.271
0.280
0.280
0.280
0.276
0.280
0.285
0.283
0.276
0.273
0.276
0.283
0.278
0.278
0.283
0.278
0.280
0.278
0.285
0.285
0.280
0.283
0.285
0.278
0.290
0.280
0.280
0.273
0.280
0.276
0.278
0.280
0.280
0.273
0.280
0.278
0.285
0.278
0.276
0.280
0.283
0.276
0.280
0.288
0.288
0.276
0.278
0.278
0.293
0.280
0.280
0.278
0.280
0.276
0.276
0.280
0.285
0.280
0.280
0.276
0.288
0.280
0.278
0.280
0.285
0.280
0.285
0.278
0.280
0.288
0.280
0.276
0.278
0.278
0.285
0.278
0.278
0.273
0.280
0.276
0.280
0.290
0.290
0.278
0.290
0.285
0.278
0.283
0.280
0.280
0.288
0.283
