VC mem handle 5, phys 0xfe86f000, virt 0xb6f90000
CS 54004003 enable=1 done=1 pxldat=1 txw=1 txd=1 txe=1
0.007
0.007
0.015
0.005
0.015
0.002
0.007
0.012
0.005
0.007
0.007
0.007
0.012
0.010
0.002
0.010
0.002
0.010
0.010
0.010
0.012
0.005
0.012
0.005
0.010
0.005
0.007
0.010
0.010
0.005
0.015
0.002
0.012
0.002
0.012
0.015
0.007
0.002
0.007
0.010
0.010
0.007
0.010
0.000
0.007
0.012
0.005
0.007
0.010
0.005
0.012
0.007
0.007
0.015
0.000
0.007
0.015
0.002
0.015
0.005
0.005
0.010
0.010
0.007
0.005
0.012
0.007
0.007
0.010
0.015
0.007
0.007
0.010
0.012
0.005
0.007
0.012
0.005
0.010
0.005
0.012
0.012
0.002
0.012
0.015
0.005
0.010
0.002
0.017
0.007
0.010
0.010
0.002
0.010
0.012
0.010
0.007
0.002
0.010
0.012
0.010
0.007
0.012
0.007
0.007
0.012
0.005
0.012
0.002
0.010
0.012
0.007
0.010
0.012
0.002
0.015
0.012
0.007
0.010
0.007
0.007
0.012
0.015
0.005
0.012
0.005
0.012
0.005
0.010
0.015
0.000
0.007
0.017
0.002
0.015
0.002
0.010
0.007
0.010
0.005
0.007
0.017
0.002
0.012
0.007
0.007
0.010
0.002
0.012
0.010
0.010
0.010
0.005
0.012
0.010
0.007
0.007
0.007
0.010
0.010
0.005
0.012
0.007
0.005
0.005
0.010
0.012
0.010
0.002
0.015
0.005
0.005
0.005
0.012
0.010
0.007
0.007
0.007
0.007
0.010
0.005
0.017
0.007
0.007
0.010
0.010
0.012
0.012
0.000
0.015
0.007
0.007
0.015
0.012
0.012
0.007
0.007
0.005
0.010
0.007
0.007
0.015
0.010
0.002
0.012
0.000
0.015
0.007
0.012
0.007
0.012
0.010
0.010
0.005
0.005
0.010
0.012
0.002
0.015
0.005
0.010
0.005
0.007
0.012
0.007
0.007
0.005
0.007
0.015
0.005
0.012
0.017
0.005
0.012
0.005
0.007
0.007
0.007
0.015
0.005
0.007
0.015
0.002
0.012
0.010
0.007
0.007
0.010
0.012
0.007
0.007
0.007
0.005
0.007
0.010
0.012
0.012
0.005
0.007
0.007
0.007
0.010
0.010
0.015
0.012
0.000
0.012
0.010
0.007
0.007
0.007
0.002
0.015
0.005
0.010
0.010
0.002
0.007
0.012
0.015
0.002
0.007
0.015
0.010
0.005
0.005
0.012
0.002
0.012
0.005
0.007
0.007
0.002
0.007
0.017
0.007
0.012
0.005
0.010
0.007
0.012
0.005
0.007
0.007
0.015
0.002
0.010
0.007
0.015
0.002
0.010
0.010
0.005
0.015
0.007
0.005
0.002
0.012
0.010
0.010
0.005
0.010
0.007
0.005
0.015
0.010
0.005
0.007
0.005
0.012
0.005
0.002
0.012
0.012
0.000
0.012
0.010
0.012
0.002
0.012
0.010
0.010
0.002
0.015
0.007
0.010
0.007
0.012
0.002
0.005
0.007
0.005
0.010
0.010
0.007
0.012
0.005
0.002
0.012
0.007
0.017
0.007
0.005
0.017
0.002
0.017
0.012
0.002
0.010
0.010
0.005
0.012
0.012
0.005
0.010
0.005
0.005
0.012
0.010
0.017
0.002
0.000
0.015
0.005
0.007
0.015
0.007
0.002
0.012
0.005
0.010
0.007
0.012
0.010
0.012
0.012
0.010
0.005
0.012
0.010
0.012
0.007
0.010
0.010
0.007
0.005
0.017
0.007
0.012
0.007
